titulo,vinculo,resumen
b'[LIBRO][B] Mental health atlas 2005',b'https://books.google.com/books?hl=es&lr=&id=2SXuXnlz3PgC&oi=fnd&pg=PA6&dq=mental+health%0A&ots=KIIlbIMjjs&sig=Y7xueeYA87gEUE0HkGgDHw75RSA',"b'The 2005 edition is an update of the first Mental Health Atlas 2001, and contains the most complete global data available on mental health resources. It shows no substantial change in global mental health resources since 2001, while there continue to be marked and\xc2\xa0\xe2\x80\xa6'"
b'[LIBRO][B] The National Institute of Mental Health',b'https://books.google.com/books?hl=es&lr=&id=jBF3FWLE6zYC&oi=fnd&pg=PA2&dq=mental+health%0A&ots=X-cXuIWctL&sig=q28xJoZ5e2Sfl1NsvOjghUinQMk',"b""The National Institute of Mental Health administers the Federal Government's major program of support for the Nation's work in mental health. This requires a wide range of activities in research, in training, in services. NIMH conducts and supports research into the causes\xc2\xa0\xe2\x80\xa6"""
b'No health without mental health',b'https://www.academia.edu/download/46182950/Global_mental_health_1_-_No_health_witho20160602-18337-bj5tqc.pdf',"b'About 14% of the global burden of disease has been attributed to neuropsychiatric disorders, mostly due to the chronically disabling nature of depression and other common mental disorders, alcohol-use and substance-use disorders, and psychoses. Such estimates\xc2\xa0\xe2\x80\xa6'"
"b'Racism, mental health, and mental health practice'",b'https://www.researchgate.net/profile/Helen_Neville3/publication/247736841_Racism_Mental_Health_and_Mental_Health_Practice/links/58eb9a76aca272bd2875e53c/Racism-Mental-Health-and-Mental-Health-Practice.pdf',"b'In this article, the authors present an interdisciplinary discussion of the multiple dimensions of racism and formulate conceptions of its impact on the formation of healthy personalities. They describe how racism has both ideological and structural components and perpetuates\xc2\xa0\xe2\x80\xa6'"
b'Adolescent mental health.',b'https://psycnet.apa.org/record/1989-25629-001',"b""Definitions and descriptions of adolescent mental health are beginning to be grounded in psychologists' empirical studies of a wide variety of patterns of adaptation to adolescence. Three major themes guiding current research relevant to mental health in adolescence are\xc2\xa0\xe2\x80\xa6"""
b'[LIBRO][B] Positive mental health and mental illness',b'http://campusmentalhealth.ca/wp-content/uploads/2014/09/Positive-Health-and-Wellness.pdf',"b'Abstract Based on the Health Continuum Short Form administered in the 2012 Canadian Community Health Survey\xe2\x80\x93Mental Health (CCHS-MH), the percentages of Canadians aged 15 or older classified as having flourishing, moderate or languishing mental health were\xc2\xa0\xe2\x80\xa6'"
b'Farming and mental health problems and mental illness',b'https://journals.sagepub.com/doi/abs/10.1177/0020764005060844',b'Background: Farmers experience one of the highest rates of suicide of any industry and there is growing evidence that those involved in farming are at higher risk of developing mental health problems. This article provides an overview of the literature examining mental \xc2\xa0\xe2\x80\xa6'
b'[HTML][HTML] Mental health in the context of health disparities',b'https://ajp.psychiatryonline.org/doi/full/10.1176/appi.ajp.2008.08030333',"b'A longstanding theme of mental health policy has been the tension between the integration of mental health into general health policy and exceptionalism. Integration is represented by policies such as parity in health insurance coverage, and exceptionalism by \xe2\x80\x9ccarve-outs\xe2\x80\x9d of\xc2\xa0\xe2\x80\xa6'"
b'What a theory of mental health should be.',b'https://psycnet.apa.org/record/1977-28559-001',b'Considers the ambiguity of the concept of mental health and suggests that the ambiguity is caused by the lack of an acceptable supertheory of psychiatry and the unwillingness of mental health theorists to take physiology as a paradigm. Granted the assumption of mental \xc2\xa0\xe2\x80\xa6'
b'[PDF][PDF] Mental health in schools and public health',b'https://journals.sagepub.com/doi/pdf/10.1177/003335490612100312',"b'Health policy and practice call for health and mental health parity and for a greater focus on universal interventions to promote, prevent, and intervene as early after problem onset as is feasible. Those in the public health field are uniquely positioned to help promote the mental \xc2\xa0\xe2\x80\xa6'"
b'[LIBRO][B] Implementing mental health promotion',b'https://www.researchgate.net/profile/Margaret_Barry/publication/233808314_Implementing_Mental_Health_Promotion_Slide_Show/links/541014810cf2f2b29a3e09cb/Implementing-Mental-Health-Promotion-Slide-Show.pdf',"b'Good mental health is fundamental to population health and wellbeing and contributes to the functioning of individuals, families, communities and society. As recognised by the World Health Organization, strategies focused on treating mental ill-health alone will not\xc2\xa0\xe2\x80\xa6'"
b'[PDF][PDF] World health report 2001: mental health',b'https://apps.who.int/iris/bitstream/handle/10665/121922/em_rc48_inf_doc_1_en.pdf',b'Mental health was selected as the theme for World Health Day and as the technical subject of the World Health Report for the year 200 l. The selection of the mental health theme is timely and is a natural reflection of the changes taking place around us. These changes\xc2\xa0\xe2\x80\xa6'
b'[HTML][HTML] Mental health in the 21st century',b'https://www.scielosp.org/article/bwho/2000.v78n4/411-411/pt/',"b'We know from mortality statistics that over the last century human life expectancy has increased as never before though not always for the poor of the planet, who are still easy prey to the usual killers. Using instruments such as the DALY (disability-adjusted life year)\xc2\xa0\xe2\x80\xa6'"
b'Economics and mental health',b'https://www.sciencedirect.com/science/article/pii/S1574006400800293',b'This paper is concerned with the economics of mental health. We argue that mental health economics is like health economics only more so: uncertainty and variation in treatments are greater; the assumption of patient self-interested behavior is more dubious; response to\xc2\xa0\xe2\x80\xa6'
b'[PDF][PDF] Mental Health Services Administration',b'https://greenlake.extension.wisc.edu/files/2019/03/Green-Lake_April-2019-CWAS-Newsletter.pdf',"b""As I am sure we all have noticed, markets across the board aren't at the booming prices they were a few years back. Low markets= less money in our pockets, and low amounts of money make it stressful to run our daily operation. Not knowing how to handle stress can lead to the\xc2\xa0\xe2\x80\xa6"""
b'Current concepts of positive mental health.',b'https://psycnet.apa.org/psycinfo/2006-20880-000/',"b'Mental health is an individual and personal matter. It involves a living human organism or, more precisely, the condition of an individual human mind. A social environment or culture may be conducive either to sickness or health, but the quality produced is characteristic only\xc2\xa0\xe2\x80\xa6'"
b'[HTML][HTML] No health without perinatal mental health',b'https://kclpure.kcl.ac.uk/portal/en/publications/no-health-without-perinatal-mental-health(4682ce27-0898-4d9e-b36d-d10d58c5d7b8).html',"b'Yapp, E., Booth, T., Davis, K., Coleman, J., Howard, L., Breen, G., Hatch, S., Hotopf, M. & \nOram, S., 2 Aug 2021, (Accepted/In press) In: Social Psychiatry and Psychiatric \nEpidemiology\xc2\xa0\xe2\x80\xa6 Hazelgrove, K., Biaggi, A., Waites, F., Fuste, M., Osborne, S., Conroy, S\xc2\xa0\xe2\x80\xa6'"
b'The illusion of mental health.',b'https://pdfs.semanticscholar.org/30f6/4f84a3bfa31296fb2873d0f22b0c3fa63e68.pdf',"b""It is argued that researchers' reliance on \xe2\x80\x9cobjective\xe2\x80\x9d mental health scales and disregard for clinical judgment has led to many mistaken conclusions. Specifically, standard mental health scales appear unable to distinguish between genuine mental health and the facade or\xc2\xa0\xe2\x80\xa6"""
"b'[LIBRO][B] Atlas: child and adolescent mental health resources: global concerns, implications for the future'",b'https://books.google.com/books?hl=es&lr=&id=VF4t5hp2vF4C&oi=fnd&pg=PA6&dq=mental+health%0A&ots=qADD1QsZh1&sig=cohJRw8OTWdB97zwJKNH7CAw818',b'This collaborative ATLAS project is a systematic attempt to collect information from countries around the world on existing services and resources relating to child and adolescent mental health services. The primary purposes of this initial report are to stimulate additional data\xc2\xa0\xe2\x80\xa6'
b'Mental health-related stigma in health care and mental health-care settings',"b'http://bibliobase.sermais.pt:8008/BiblioNET/Upload/PDF13/009809%20Lancet%20Psychiatry%202014,%206,%20%20467-482.pdf'","b'This Review considers the evidence for mental-health-related stigma in health-care and mental-health-care settings. Do mental-health-care and other health-care professionals stigmatise people using their services? If so, what are the effects on quality of mental and\xc2\xa0\xe2\x80\xa6'"
b'Exercise and mental health',b'https://www.researchgate.net/profile/John_Raglin/publication/20964481_Exercise_and_mental_health_Beneficial_and_detrimental_effects/links/5b86b3824585151fd13b8be4/Exercise-and-mental-health-Beneficial-and-detrimental-effects.pdf',"b'Physical exercise is increasingly being advocated as a means to maintain and enhance good mental health. In general, findings from research indicate that exercise is associated with improvements in mental health including mood state and self-esteem, although a\xc2\xa0\xe2\x80\xa6'"
b'Gender and mental health',b'https://link.springer.com/chapter/10.1007/978-94-007-4276-5_14',"b'Men and women experience different kinds of mental health problems. While women exceed men in internalizing disorders such as depression and anxiety, men exhibit more externalizing disorders such as substance abuse and antisocial behavior, which are\xc2\xa0\xe2\x80\xa6'"
b'A history of mental health services.',b'https://www.cabdirect.org/cabdirect/abstract/19732701340',"b'We collect your name, email address, institutional affiliation and login credentials. We use this information to provide you with access to the My CABI service, to provide you with technical or product support, and to keep the service working securely.We may also use\xc2\xa0\xe2\x80\xa6'"
"b'[HTML][HTML] The World Health Report 2001: Mental health: new understanding, new hope'",b'https://books.google.com/books?hl=es&lr=&id=GQEdA-VFSIgC&oi=fnd&pg=PP11&dq=mental+health%0A&ots=d2RAWIhmrD&sig=unmMw0YkQIaUPpMhLCxF-vOKbEg',b'An estimated 400 million people suffer from mental or neurological disorders or from psychosocial problems such as those related to alcohol and drug abuse. Many of them suffer silently. Many suffer alone. Many never receive treatment of any kind. Between the\xc2\xa0\xe2\x80\xa6'
b'Ethnic minorities and mental health',b'https://www.researchgate.net/profile/William_Vega/publication/228246892_Ethnic_Minorities_and_Mental_Health/links/548792da0cf2ef34478ecbda/Ethnic-Minorities-and-Mental-Health.pdf',b'The sociological study of the mental health of racial-ethnic minorities addresses issues of core theoretical and empirical concern to the discipline. This review summarizes current knowledge about minority mental health and identifies conceptual and methodological\xc2\xa0\xe2\x80\xa6'
"b'Mental health, health care utilisation of migrants in Europe'",b'https://www.academia.edu/download/48691174/Mental_health_health_care_utilisation_of20160908-14228-1ecjtf2.pdf',"b'Background Migration during the 1990s has been high and has been characterised by new migrations. Migration has been a key force in the demographic changes of the European population. Due to the different condition of migration in Europe, variables related to mental \xc2\xa0\xe2\x80\xa6'"
b'The built environment and mental health',b'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3456225/pdf/11524_200',"b'The built environment has direct and indirect effects on mental health. Highrise housing is inimical to the psychological well-being of women with young children. Poor-quality housing appears to increase psychological distress, but methodological issues make it difficult, to\xc2\xa0\xe2\x80\xa6'"
b'[PDF][PDF] Exercise for mental health',b'https://cours.univ-paris1.fr/pluginfile.php/1020258/mod_resource/content/1/Exercise%20for%20Mental%20Health%20text%20and%20exercises.pdf',"b'Sir: In this era of exponential growth of the \xe2\x80\x9cmetabolic syndrome\xe2\x80\x9d and obesity, lifestyle modifications could be a cost-effective way to improve health and quality of life. Lifestyle modifications can assume especially great importance in individuals with serious mental \xc2\xa0\xe2\x80\xa6'"
b'Current conceptualizations of mental health and mental health promotion',b'https://academic.oup.com/her/article-pdf/13/1/57/1664935/13-1-57.pdf',b'Health promotion is generally agreed to be underpinned by a set of principles which distinguish it from other disciplines and professions. This paper takes these principles as the starting point for a review of the literature of mental health promotion. The aim is to clarify the\xc2\xa0\xe2\x80\xa6'
b'[LIBRO][B] Religion and mental health',b'https://books.google.com/books?hl=es&lr=&id=oY0nsXwPJ3AC&oi=fnd&pg=PR5&dq=mental+health%0A&ots=8B3AghjUlC&sig=0f4iefd6tGypOgcwZ_Va6-GqpU4',b'This is an interdisciplinary collection of previously unpublished papers on the controversial relationship between religious behavior and mental health. Schumaker has assembled a distinguished international roster of contributors--sociologists and anthropologists as well as\xc2\xa0\xe2\x80\xa6'
b'[PDF][PDF] Gender differences in mental health',b'http://sites.oxy.edu/clint/physio/article/Genderdifferencesinmentalhealth.pdf',"b""Effective strategies for mental disorders prevention and its risk factors' reduction cannot be gender neutral, while the risks themselves are gender specific. This paper aims to discuss why gender matters in mental health, to explain the relationship of gender and health\xc2\xa0\xe2\x80\xa6"""
b'The need for mental health promotion',b'https://journals.sagepub.com/doi/abs/10.1046/j.1440-1614.2001.00947.x',"b'Objective: To examine the concept and evidence for mental health promotion, within an understanding of mental health and mental illness and their determinants. Method: Aselective review of literature and opinion in the fields of public health and mental health\xc2\xa0\xe2\x80\xa6'"
b'Social ties and mental health',b'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3455910/pdf/11524_2006_Article_44.pdf&gt',"b'It is generally agreed that social ties play a beneficial role in the maintenance of psychological well-being. In this targeted review, we highlight four sets of insights that emerge from the literature on social ties and mental health outcomes (defined as stress\xc2\xa0\xe2\x80\xa6'"
b'Do mental health professionals stigmatize their patients?',b'http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.669.1087&rep=rep1&type=pdf',"b'Objective: Assessing stereotypes towards people with mental illness among mental health professionals, comparing their view to the Swiss general population and analysing the influence of demographic factors, profession and work place variables (type of ward\xc2\xa0\xe2\x80\xa6'"
b'The police and mental health',b'https://ps.psychiatryonline.org/doi/full/10.1176/appi.ps.53.10.1266',"b'With deinstitutionalization and the influx into the community of persons with severe mental illness, the police have become frontline professionals who manage these persons when they are in crisis. This article examines and comments on the issues raised by this\xc2\xa0\xe2\x80\xa6'"
